Year,Month,Day,Hour,Min,Ararat,Ararat Edits,Boco,Boco Edits,Silverton,Silverton Edits
2020,3,24,3,40,5.484600,0,0.508200,0,6.270000,0
2020,3,24,3,50,5.484600,0,0.580800,0,6.184200,0
2020,3,24,4,0,5.458200,0,0.719400,0,6.072000,0
2020,3,24,4,10,5.412000,0,0.831600,0,5.946600,0
2020,3,24,4,20,5.365800,0,0.877800,0,5.827800,0
2020,3,24,4,30,5.313000,0,0.924000,0,5.662800,0
2020,3,24,4,40,5.266800,0,0.963600,0,5.557200,0
2020,3,24,4,50,5.214000,0,0.917400,0,5.425200,0
2020,3,24,5,0,5.161200,0,0.917400,0,5.313000,0
2020,3,24,5,10,5.108400,0,0.970200,0,5.200800,0
2020,3,24,5,20,5.042400,0,0.864600,0,5.121600,0
2020,3,24,5,30,4.989600,0,0.765600,0,5.088600,0
2020,3,24,5,40,4.956600,0,0.719400,0,5.075400,0
2020,3,24,5,50,4.936800,0,0.798600,0,5.055600,0
2020,3,24,6,0,4.943400,0,0.897600,0,4.989600,0
2020,3,24,6,10,4.950000,0,0.871200,0,4.910400,0
2020,3,24,6,20,4.936800,0,1.003200,0,4.870800,0
2020,3,24,6,30,4.950000,0,1.155000,0,4.791600,0
2020,3,24,6,40,4.983000,0,1.234200,0,4.732200,0
2020,3,24,6,50,5.049000,0,1.254000,0,4.653000,0
2020,3,24,7,0,5.095200,0,1.280400,0,4.540800,0
2020,3,24,7,10,5.134800,0,1.326600,0,4.501200,0
2020,3,24,7,20,5.200800,0,1.339800,0,4.448400,0
2020,3,24,7,30,5.273400,0,1.267200,0,4.375800,0
2020,3,24,7,40,5.359200,0,1.161600,0,4.329600,0
2020,3,24,7,50,5.451600,0,2.085600,0,4.243800,0
2020,3,24,8,0,5.524200,0,1.848000,0,4.098600,0
2020,3,24,8,10,5.583600,0,1.709400,0,3.966600,0
2020,3,24,8,20,5.643000,0,1.518000,0,3.874200,0
2020,3,24,8,30,5.689200,0,1.577400,0,3.696000,0
2020,3,24,8,40,5.722200,0,1.551000,0,3.715800,0
2020,3,24,8,50,5.755200,0,1.643400,0,3.663000,0
2020,3,24,9,0,5.775000,0,1.808400,0,3.768600,0
2020,3,24,9,10,5.728800,0,1.920600,0,3.768600,0
2020,3,24,9,20,5.656200,0,1.986600,0,3.874200,0
2020,3,24,9,30,5.590200,0,1.907400,0,3.940200,0
2020,3,24,9,40,5.517600,0,1.795200,0,3.993000,0
2020,3,24,9,50,5.405400,0,1.749000,0,4.208600,1
2020,3,24,10,0,5.405400,0,1.749000,0,3.913800,0
2020,3,24,10,10,5.280000,0,2.013000,0,4.468200,0
2020,3,24,10,20,5.134800,0,2.442000,0,5.062200,0
2020,3,24,10,30,5.016000,0,2.633400,0,5.662800,0
2020,3,24,10,40,4.943400,0,2.791800,0,6.171000,0
2020,3,24,10,50,4.864200,0,2.930400,0,6.705600,0
2020,3,24,11,0,4.864200,0,2.950200,0,6.765000,0
2020,3,24,11,10,5.451600,0,3.082200,0,6.850800,0
2020,3,24,11,20,6.408600,0,3.247200,0,6.976200,0
2020,3,24,11,30,6.613200,0,3.069000,0,6.316200,0
